,,,,,silhouette,silhouette,ics_score,ics_score,n_clusters,n_clusters,stability,hierarchical_score,hierarchical_score,external_ARI_broad,external_ARI_broad,external_NMI_broad,external_NMI_broad,external_ARI_fine,external_ARI_fine,external_NMI_fine,external_NMI_fine,external_ARI_who,external_ARI_who,external_NMI_who,external_NMI_who
,,,,,mean,std,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
genus,material,metric,tau,gamma,,,,,,,,,,,,,,,,,,,,,
Escherichia,Blood Culture,dice,0.30000000000000004,0.5,0.33834661516472,0.026920715034455398,3.7685698363597018,0.3249672666238647,17.0,2.260776661041756,0.8489851025278135,0.4654347843139163,0.02333364895157671,0.1913937060044303,0.03353905584387735,0.5228285097034214,0.028847478561734113,0.058503115200783384,0.008290597133280791,0.5986638699014704,0.03307872937802152,0.06858936262170152,0.013909342589602735,0.23040227814100592,0.010109304709883284
Escherichia,Blood Culture,dice,0.30000000000000004,0.75,0.34997484545445673,0.0030887788421642523,3.392909559286603,0.14014438222825895,14.3,0.9486832980505138,0.9642497419402452,0.4386592264987357,0.012790815431594688,0.18001537752031693,0.017459365051768535,0.4929235802533992,0.015814694790331766,0.05651830719772648,0.0028220542595345038,0.5599125195369482,0.01656797428857203,0.07131508023976059,0.008380185812128854,0.22272381535978858,0.006663122138902512
Escherichia,Blood Culture,dice,0.30000000000000004,1.0,0.35635096201938965,0.009050065457677914,3.7591271881566777,0.07349401891032946,15.0,0.0,0.951655341911233,0.43825885857968816,0.005407599416857789,0.12331637528319388,0.03384939919469307,0.48365511400428884,0.008238193975559008,0.050728941514840684,0.010974502975956972,0.5704542224118483,0.008954571824178232,0.06032976227068375,0.0035808154157693194,0.21660211804554064,0.0021522916849373154
Escherichia,Blood Culture,dice,0.4,0.5,0.3406373739555969,0.044596607616655536,4.280615804234868,0.18425478729598707,21.2,1.1352924243950921,0.8753209150229242,0.49907199459200174,0.008581572701242985,0.18936795732302109,0.03659129945942626,0.5644409973354283,0.018112652700718386,0.06848330470597687,0.011514610800248102,0.6476446408398601,0.00999193928694199,0.045126601798286745,0.007115623788604184,0.23560613018476423,0.006698035908185348
Escherichia,Blood Culture,dice,0.4,0.75,0.3443125018874805,0.0,3.8654467035246243,0.0,18.0,0.0,1.0,0.47073634897953837,0.0,0.2018926579386763,0.0,0.536541125012053,0.0,0.06987137845913992,0.0,0.6095545894661735,0.0,0.04597370878528841,0.0,0.21984058563151038,0.0
Escherichia,Blood Culture,dice,0.4,1.0,0.35112435871221886,0.0,4.087607851237241,0.0,18.0,0.0,1.0,0.46231611897256997,0.0,0.11283309985187642,0.0,0.5023948170627557,0.0,0.07076132447599323,0.0,0.6091089442575696,9.064933036736789e-17,0.05531165872851522,0.0,0.22651365383571828,0.0
Escherichia,Blood Culture,jaccard,0.1,0.5,0.24036757710759674,0.044353373589464846,3.9470786089364758,0.5811099781657157,13.9,3.634709219609061,0.7680676404862858,0.4300356305897344,0.04832421004647852,0.2000773242982096,0.030386394771050446,0.5047518640383754,0.053840123740819715,0.05852643268885643,0.009519166179331521,0.5627197673447462,0.059383524048627706,0.06099857451199342,0.015079271722374818,0.17840721480107752,0.03206186919164716
Escherichia,Blood Culture,jaccard,0.1,0.75,0.236951214322125,0.02805183063771555,3.3918821934622003,0.5276306523468495,9.2,2.6583202716502514,0.8041067403246724,0.364522829149172,0.04924029145013744,0.17330106768936146,0.044236777540250544,0.43347670240741876,0.06358176016341054,0.05060787302398169,0.009293117909872493,0.482667173070437,0.0608513196197534,0.05643438627237142,0.008375669747156929,0.13804316399590535,0.01995395035185931
Escherichia,Blood Culture,jaccard,0.1,1.0,0.25248873130860383,0.0,2.564381361554625,0.0,7.0,0.0,1.0,0.29967492017765174,0.0,0.06906416380444476,0.0,0.35604413999597934,5.233641528945917e-17,0.01608334308790823,0.0,0.4004360758684797,0.0,0.02142422155001148,0.0,0.1089574927715535,1.4628472785736255e-17
Escherichia,Blood Culture,jaccard,0.2,0.5,0.21699923000103868,0.16205870901287628,4.515333992975327,0.37222590962400787,18.8,2.043961295567452,0.8347866175511534,0.4820618157540186,0.022225564692125423,0.20138686675836404,0.03427523147868274,0.5465319785821625,0.030270424731782656,0.06607063094136201,0.008269455979748513,0.6271005989930737,0.028063914679192933,0.05751351246668492,0.015562371842263941,0.22420660860713465,0.012462454359990442
